ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2024-06,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-11,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-4,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-3,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-05,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-09,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-07,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-08,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-10,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-02,100144,HUMOR OFF LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO 125 ML,CORPO E BANHO
2024-02,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-01,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-02,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-9,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-07,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-05,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2024-1,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-03,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-12,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-06,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-08,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-04,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2023-10,100144,HUMOR OFF-LINE IOGURTE DESODORANTE HIDRATANTE CORPORAL PERFUMADO - 125 ML,CORPO
2024-06,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-09,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-03,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-10,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-07,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-04,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-05,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-08,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
2024-11,100145,HUMOR OFF LINE GELEIA DE BANHO CORPORAL 125 G,CORPO E BANHO
