ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2024-09,103342,AMOSTRA,ESSENCIAL
2024-09,103347,AMOSTRA,ESSENCIAL
2024-11,103377,AMOSTRA,TODODIA
2024-09,103377,AMOSTRA,TODODIA
2024-10,103377,AMOSTRA,TODODIA
2024-10,110820,AMOSTRA,VEGANOS
2024-07,110820,AMOSTRA,VEGANOS
2024-10,110828,AMOSTRA,TODOS-PRODUTOS
2024-07,110829,AMOSTRA,EXCEÇÃO OFERTAS BRINDE
2024-09,115507,AMOSTRA,LUNA
2024-09,117802,AMOSTRA,TODODIA
2024-10,117802,AMOSTRA,TODODIA
2024-11,117802,AMOSTRA,TODODIA
2024-05,122472,AMOSTRA,TODOS-PRODUTOS
2024-05,122501,AMOSTRA,MÁSCARA DE TRATAMENTO
2024-07,122504,AMOSTRA,MÁSCARA DE TRATAMENTO
2024-11,129237,AMOSTRA,EXCEÇÃO OFERTAS BRINDE
2024-05,131472,AMOSTRA,TODOS-PRODUTOS
2024-05,131556,AMOSTRA,TODOS-PRODUTOS
2024-09,140753,AMOSTRA,MAIS VENDIDOS
2024-07,147437,AMOSTRA,CABELOS
2024-07,148430,AMOSTRA,MAIS VENDIDOS
2024-08,149195,AMOSTRA,INFANTIL
2024-09,149195,AMOSTRA,INFANTIL
2024-07,149195,AMOSTRA,INFANTIL
2024-08,150193,AMOSTRA,EKOS
2024-07,150193,AMOSTRA,EKOS
2024-11,150194,AMOSTRA,MAIS VENDIDOS
2024-09,150202,AMOSTRA,EKOS
2024-08,150202,AMOSTRA,EKOS
2024-07,150202,AMOSTRA,EKOS
2024-10,154903,AMOSTRA,MAIS VENDIDOS
2024-09,154903,AMOSTRA,MAIS VENDIDOS
2024-09,154904,AMOSTRA,MAIS VENDIDOS
2024-10,154904,AMOSTRA,MAIS VENDIDOS
2024-09,154906,AMOSTRA,MAIS VENDIDOS
2024-09,154907,AMOSTRA,TODODIA
2024-10,154907,AMOSTRA,TODODIA
2024-11,154907,AMOSTRA,TODODIA
2024-11,154910,AMOSTRA,CORPO E BANHO
2024-09,154910,AMOSTRA,CORPO E BANHO
2024-07,155284,AMOSTRA,HOMEM
2024-09,156227,AMOSTRA,KAIAK
2024-10,156227,AMOSTRA,KAIAK
2024-11,156227,AMOSTRA,KAIAK
2024-10,156232,AMOSTRA,KAIAK
2024-09,156232,AMOSTRA,KAIAK
2024-11,156232,AMOSTRA,KAIAK
2024-11,162202,AMOSTRA,MAIS VENDIDOS
2024-11,162207,AMOSTRA,MAIS VENDIDOS
2024-11,162790,AMOSTRA,MAIS VENDIDOS
2024-10,2581,AMOSTRA,MAIS VENDIDOS
2024-08,43618,AMOSTRA,LISTA_03
2024-11,43618,AMOSTRA,LISTA_03
2024-09,43618,AMOSTRA,LISTA_03
2024-09,46225,AMOSTRA,MAIS VENDIDOS
2024-10,46225,AMOSTRA,MAIS VENDIDOS
2024-08,46225,AMOSTRA,MAIS VENDIDOS
2024-10,56162,AMOSTRA,MAIS VENDIDOS
2024-10,63754,AMOSTRA,MAIS VENDIDOS
2024-10,76426,AMOSTRA,MAIS VENDIDOS
2024-11,76426,AMOSTRA,MAIS VENDIDOS
2024-11,76432,AMOSTRA,MAIS VENDIDOS
2024-10,76432,AMOSTRA,MAIS VENDIDOS
